	cell9
1882	37.133
1883	37.167
1884	38.183
1885	35.467
1886	36.067
1887	36.7
1888	36.917
1889	35.917
1890	36.717
1891	36.683
1892	37.517
1893	37.3
1894	35.583
1895	36.05
1896	37.633
1897	36.633
1898	36.8
1899	35.683
1900	36.85
1901	36.083
1902	37.433
1903	36.917
1904	36.017
1905	37.417
1906	36.833
1907	37.35
1908	36.9
1909	36.117
1910	36.55
1911	36.167
1912	37.583
1913	37.017
1914	36.6
1915	37.133
1916	37.55
1917	36.583
1918	36.317
1919	36.933
1920	37.217
1921	36.85
1922	37.3
1923	36.767
1924	35.55
1925	37.367
1926	37.017
1927	36.933
1928	36.45
1929	38.217
1930	37.367
1931	37.3
1932	36.85
1933	35.55
1934	36.983
1935	37.533
1936	36.55
1937	36.467
1938	36.483
1939	37.35
1940	36.583
1941	36.717
1942	36.05
1943	35.433
1944	36.733
1945	37.65
1946	37.15
1947	35.667
1948	35.65
1949	37.65
1950	35.867
1951	36.117
1952	36.983
1953	37.033
1954	37.333
1955	36.333
1956	36.517
1957	36.533
1958	36.217
1959	37.417
1960	36.683
1961	36.417
1962	36.7
1963	36.75
1964	37.483
1965	36.867
1966	36.867
1967	37.083
1968	36.65
1969	36.4
1970	37.25
1971	36.833
1972	36.183
1973	37.783
1974	37.733
1975	37.367
1976	37.067
1977	37.017
1978	36.733
1979	36.217
1980	36.95
1981	37
1982	36.833
1983	35.65
1984	37.717
1985	36.55
1986	36.517
1987	36.583
1988	36.7
1989	36.55
1990	37.25
1991	37.15
1992	37.067
1993	35.967
1994	36.967
1995	36.65
1996	37.283
1997	36.7
1998	34.917
1999	36.967
2000	36.867
2001	36.433
2002	36.983
2003	37.133
2004	36.25
2005	37.15
2006	38.183
2007	37.367
2008	38.333
2009	37.117
2010	37.4
2011	36.783
2012	37.167
2013	37.067
2014	37.117
2015	36.517
2016	37.833
2017	36.5
2018	36.217
2019	36.45
2020	35.117
2021	37.633
2022	37.2
2023	36.167
2024	37.167
2025	35.35
2026	38.067
2027	37.217
2028	37.517
2029	36.017
2030	37.667
2031	37.383
2032	38.9
2033	38.95
2034	38.467
2035	38.05
2036	38.633
2037	39.65
2038	38.45
2039	39.667
2040	38.4
2041	39.217
2042	39.083
2043	39.533
2044	38.817
2045	40.083
2046	38.667
2047	38.917
2048	37.967
2049	37.9
2050	37.933
2051	37.467
2052	38.733
2053	38.133
2054	38.367
2055	37.517
2056	38.117
2057	37.95
2058	37.3
2059	36.75
2060	37.4
2061	38
2062	37.3
2063	36.717
2064	37.133
2065	38.2
2066	37
2067	37.85
2068	38.2
2069	37.433
2070	37
2071	37.967
2072	37.35
2073	36.5
2074	37.25
2075	36.883
2076	36.767
2077	38.117
2078	37.35
2079	35.617
2080	37.883
2081	37.217
2082	35.383
2083	37.017
2084	37.417
2085	37.05
2086	36.867
2087	35.817
2088	36.083
2089	37.483
2090	37.583
2091	37.067
2092	37.167
2093	35.983
2094	37.117
2095	37.2
2096	37.4
2097	36.95
2098	37.233
2099	37.417
2100	35.833
2101	37.4
2102	36.217
2103	36.767
2104	36.867
2105	37.383
2106	36.817
2107	37.567
2108	38.3
2109	37.967
2110	36.683
2111	37.517
2112	36.817
2113	36.95
2114	37.25
2115	36.917
2116	36.7
2117	37.633
2118	36.483
2119	36.75
2120	37.567
2121	36.583
