	 cell2
54,34	-0,005169
54,378	-0,006154
54,416	-0,002032
54,454	-0,004339
54,492	-0,003813
54,53	-0,003696
54,568	-0,001117
54,606	-0,001554
54,644	0,000017
54,682	-0,003915
54,72	-0,001884
54,758	-0,00213
54,796	-0,003413
54,834	-0,003299
54,872	-0,004136
54,91	0,003817
54,948	0,001398
54,986	-0,001236
55,024	0,001167
55,062	0,002322
55,1	0,002795
55,138	0,004609
55,176	0,006881
55,214	0,008479
55,252	0,007008
55,29	0,006206
55,328	0,004451
55,366	0,002711
55,404	0,003646
55,442	0,000867
55,48	-0,001773
55,518	0,001073
55,556	-0,00173
55,594	0,003493
55,632	0,000897
55,67	0,000065
55,708	0,00014
55,746	0,004329
55,784	0,004392
55,822	0,003499
55,86	0,000859
55,898	-0,000114
55,936	0,002254
55,974	0,003318
56,012	0,001945
56,05	0,003527
56,088	0,001329
56,126	0,000217
56,164	-0,001047
56,202	0,004344
56,24	0,003336
56,278	0,002206
56,316	-0,000735
56,354	0,000705
56,392	-0,000055
56,43	0,000385
56,468	-0,000591
56,506	0,001989
56,544	0,004758
56,582	0,005271
56,62	-0,000208
56,658	-0,005118
56,696	-0,003721
56,734	-0,00324
56,772	-0,005584
56,81	-0,007146
56,848	-0,007509
56,886	-0,011759
56,924	-0,007341
56,962	-0,006073
57	-0,003182
